DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
2,1,0,0,"4,7",0.1871101871101871,0.0201651566492874,3,1,0,0,"1,9",0.5446985446985447,-0.0275556010651226,4,1,0,0,"0,30000000000000004",-0.5363825363825364,-0.0730912367959431,5,0,1,0,"0,8999999999999999",-0.0623700623700623,-0.0469373745828957,6,0,1,0,"0,6",-0.4365904365904366,-0.0616486735424774,0,1,0,0,"1,0",-0.0374220374220374,-0.0487109221801313,1,1,0,0,"9,700000000000001",0.1455301455301455,0.2121636137424091,2,1,0,0,"187,5",0.054054054054054,6.076088572000913
3,1,0,0,"1,9",0.5446985446985447,-0.0275556010651226,4,1,0,0,"0,30000000000000004",-0.5363825363825364,-0.0730912367959431,5,0,1,0,"0,8999999999999999",-0.0623700623700623,-0.0469373745828957,6,0,1,0,"0,6",-0.4365904365904366,-0.0616486735424774,0,1,0,0,"1,0",-0.0374220374220374,-0.0487109221801313,1,1,0,0,"9,700000000000001",0.1455301455301455,0.2121636137424091,2,1,0,0,"187,5",0.054054054054054,6.076088572000913,3,1,0,0,"122,8",-0.41995841995842,3.238664928245386
4,1,0,0,"0,30000000000000004",-0.5363825363825364,-0.0730912367959431,5,0,1,0,"0,8999999999999999",-0.0623700623700623,-0.0469373745828957,6,0,1,0,"0,6",-0.4365904365904366,-0.0616486735424774,0,1,0,0,"1,0",-0.0374220374220374,-0.0487109221801313,1,1,0,0,"9,700000000000001",0.1455301455301455,0.2121636137424091,2,1,0,0,"187,5",0.054054054054054,6.076088572000913,3,1,0,0,"122,8",-0.41995841995842,3.238664928245386,4,1,0,0,"716,0",0.4698544698544699,17.0511351350814
5,0,1,0,"0,8999999999999999",-0.0623700623700623,-0.0469373745828957,6,0,1,0,"0,6",-0.4365904365904366,-0.0616486735424774,0,1,0,0,"1,0",-0.0374220374220374,-0.0487109221801313,1,1,0,0,"9,700000000000001",0.1455301455301455,0.2121636137424091,2,1,0,0,"187,5",0.054054054054054,6.076088572000913,3,1,0,0,"122,8",-0.41995841995842,3.238664928245386,4,1,0,0,"716,0",0.4698544698544699,17.0511351350814,5,0,1,0,"224,1",0.237006237006237,7.037973701987338
6,0,1,0,"0,6",-0.4365904365904366,-0.0616486735424774,0,1,0,0,"1,0",-0.0374220374220374,-0.0487109221801313,1,1,0,0,"9,700000000000001",0.1455301455301455,0.2121636137424091,2,1,0,0,"187,5",0.054054054054054,6.076088572000913,3,1,0,0,"122,8",-0.41995841995842,3.238664928245386,4,1,0,0,"716,0",0.4698544698544699,17.0511351350814,5,0,1,0,"224,1",0.237006237006237,7.037973701987338,6,0,1,0,"5,300000000000001",-0.3700623700623701,0.0616705446451339
0,1,0,0,"1,0",-0.0374220374220374,-0.0487109221801313,1,1,0,0,"9,700000000000001",0.1455301455301455,0.2121636137424091,2,1,0,0,"187,5",0.054054054054054,6.076088572000913,3,1,0,0,"122,8",-0.41995841995842,3.238664928245386,4,1,0,0,"716,0",0.4698544698544699,17.0511351350814,5,0,1,0,"224,1",0.237006237006237,7.037973701987338,6,0,1,0,"5,300000000000001",-0.3700623700623701,0.0616705446451339,0,1,0,0,"703,4",0.6112266112266113,14.40235372830225
1,1,0,0,"9,700000000000001",0.1455301455301455,0.2121636137424091,2,1,0,0,"187,5",0.054054054054054,6.076088572000913,3,1,0,0,"122,8",-0.41995841995842,3.238664928245386,4,1,0,0,"716,0",0.4698544698544699,17.0511351350814,5,0,1,0,"224,1",0.237006237006237,7.037973701987338,6,0,1,0,"5,300000000000001",-0.3700623700623701,0.0616705446451339,0,1,0,0,"703,4",0.6112266112266113,14.40235372830225,1,1,0,0,"1165,8000000000002",0.918918918918919,19.99953673028009
2,1,0,0,"187,5",0.054054054054054,6.076088572000913,3,1,0,0,"122,8",-0.41995841995842,3.238664928245386,4,1,0,0,"716,0",0.4698544698544699,17.0511351350814,5,0,1,0,"224,1",0.237006237006237,7.037973701987338,6,0,1,0,"5,300000000000001",-0.3700623700623701,0.0616705446451339,0,1,0,0,"703,4",0.6112266112266113,14.40235372830225,1,1,0,0,"1165,8000000000002",0.918918918918919,19.99953673028009,2,1,0,0,"305,3",1.1434511434511434,4.506085385778912
3,1,0,0,"122,8",-0.41995841995842,3.238664928245386,4,1,0,0,"716,0",0.4698544698544699,17.0511351350814,5,0,1,0,"224,1",0.237006237006237,7.037973701987338,6,0,1,0,"5,300000000000001",-0.3700623700623701,0.0616705446451339,0,1,0,0,"703,4",0.6112266112266113,14.40235372830225,1,1,0,0,"1165,8000000000002",0.918918918918919,19.99953673028009,2,1,0,0,"305,3",1.1434511434511434,4.506085385778912,3,1,0,0,"7,9",1.0353430353430353,0.1043231713894164
4,1,0,0,"716,0",0.4698544698544699,17.0511351350814,5,0,1,0,"224,1",0.237006237006237,7.037973701987338,6,0,1,0,"5,300000000000001",-0.3700623700623701,0.0616705446451339,0,1,0,0,"703,4",0.6112266112266113,14.40235372830225,1,1,0,0,"1165,8000000000002",0.918918918918919,19.99953673028009,2,1,0,0,"305,3",1.1434511434511434,4.506085385778912,3,1,0,0,"7,9",1.0353430353430353,0.1043231713894164,4,1,0,0,"152,7",0.8357588357588358,3.1214079820577427
5,0,1,0,"224,1",0.237006237006237,7.037973701987338,6,0,1,0,"5,300000000000001",-0.3700623700623701,0.0616705446451339,0,1,0,0,"703,4",0.6112266112266113,14.40235372830225,1,1,0,0,"1165,8000000000002",0.918918918918919,19.99953673028009,2,1,0,0,"305,3",1.1434511434511434,4.506085385778912,3,1,0,0,"7,9",1.0353430353430353,0.1043231713894164,4,1,0,0,"152,7",0.8357588357588358,3.1214079820577427,5,0,1,0,"6,1000000000000005",0.3451143451143451,0.048257593870524
