fechaconexion,area,nombrezona,comuna,model,es_festivo,tipo_dia,dia_semana,latitud,longitud,numeroconexiones,usagekb,porcentajeuso
2024-11-22,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,50.0,4783358,236.95
2024-11-23,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,48.0,3218283,167.93
2024-11-24,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,19.0,399786,54.0
2024-11-25,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,44.0,1007134,244.88
2024-11-26,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,47.0,984764,125.05
2024-11-27,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,38.0,3898608,200.74
2024-11-28,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,41.0,3737153,177.49
2024-11-29,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,44.0,3617422,162.77
2024-11-30,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,43.0,5469889,239.98
2024-12-01,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,34.0,4003469,165.66
2024-12-02,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,48.0,5011895,240.2
2024-12-03,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,56.0,4677277,250.51
2024-12-04,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,40.0,2169799,93.95
2024-12-05,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,35.0,4267462,186.01
2024-12-06,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,41.0,4049250,180.1
2024-12-07,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,43.0,1519357,74.06
2024-12-08,URBANA,044_ZW Polideportivo San Benito,11,MR76,True,Festivo,Domingo,34.307.035,-765.122.692,39.0,4817472,181.41
2024-12-09,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,14.0,763591,28.31
2024-12-10,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,37.0,3143858,103.81
2024-12-11,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,43.0,6367385,211.18
2024-12-12,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,43.0,12236630,356.6
2024-12-13,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,41.0,12117145,357.16
2024-12-14,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,61.0,7702330,253.56
2024-12-15,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,44.0,12855203,433.91
2024-12-16,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,67.0,9158400,275.39
2024-12-17,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,59.0,4519647,147.0
2024-12-18,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Miércoles,34.307.035,-765.122.692,48.0,4805767,152.0
2024-12-19,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,49.0,6188918,218.0
2024-12-20,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,59.0,4261477,140.0
2024-12-21,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,34.0,1145545,43.9
2024-12-22,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,52.0,2336092,72.9
2024-12-23,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,52.0,1817512,72.5
2024-12-24,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,36.0,1477829,61.8
2024-12-25,URBANA,044_ZW Polideportivo San Benito,11,MR76,True,Festivo,Miércoles,34.307.035,-765.122.692,44.0,3699799,131.0
2024-12-26,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,22.0,642367,23.5
2024-12-27,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,42.0,1828952,56.1
2024-12-28,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,29.0,1367297,58.1
2024-12-29,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,31.0,747798,23.1
2024-12-30,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Lunes,34.307.035,-765.122.692,24.0,996595,40.8
2024-12-31,RURAL,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Martes,34.307.035,-765.122.692,30.0,211415,11.4
2025-01-01,URBANA,044_ZW Polideportivo San Benito,11,MR76,True,Festivo,Miércoles,34.307.035,-765.122.692,19.0,63067,4.0
2025-01-02,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Jueves,34.307.035,-765.122.692,29.0,1684993,61.0
2025-01-03,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Laboral,Viernes,34.307.035,-765.122.692,16.0,699104,26.0
2025-01-04,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Sábado,34.307.035,-765.122.692,26.0,633903,24.0
2025-01-05,URBANA,044_ZW Polideportivo San Benito,11,MR76,False,Fin de Semana,Domingo,34.307.035,-765.122.692,38.0,1163355,36.0
2025-01-06,URBANA,044_ZW Polideportivo San Benito,11,MR76,True,Festivo,Lunes,34.307.035,-765.122.692,33.0,1476978,39.0
