NOMBRE_ZONA,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE_USO,NUMERO_CONEXIONES,USAGE_KB,DIA_SEMANA_lag_1,DIA_SEMANA_lag_2,DIA_SEMANA_lag_3,DIA_SEMANA_lag_4,DIA_SEMANA_lag_5,DIA_SEMANA_lag_6,DIA_SEMANA_lag_7,DIA_SEMANA_lag_8,DIA_SEMANA_lag_9,DIA_SEMANA_lag_10,LABORAL_lag_1,LABORAL_lag_2,LABORAL_lag_3,LABORAL_lag_4,LABORAL_lag_5,LABORAL_lag_6,LABORAL_lag_7,LABORAL_lag_8,LABORAL_lag_9,LABORAL_lag_10,FIN_DE_SEMANA_lag_1,FIN_DE_SEMANA_lag_2,FIN_DE_SEMANA_lag_3,FIN_DE_SEMANA_lag_4,FIN_DE_SEMANA_lag_5,FIN_DE_SEMANA_lag_6,FIN_DE_SEMANA_lag_7,FIN_DE_SEMANA_lag_8,FIN_DE_SEMANA_lag_9,FIN_DE_SEMANA_lag_10,FESTIVO_lag_1,FESTIVO_lag_2,FESTIVO_lag_3,FESTIVO_lag_4,FESTIVO_lag_5,FESTIVO_lag_6,FESTIVO_lag_7,FESTIVO_lag_8,FESTIVO_lag_9,FESTIVO_lag_10,PORCENTAJE_USO_lag_1,PORCENTAJE_USO_lag_2,PORCENTAJE_USO_lag_3,PORCENTAJE_USO_lag_4,PORCENTAJE_USO_lag_5,PORCENTAJE_USO_lag_6,PORCENTAJE_USO_lag_7,PORCENTAJE_USO_lag_8,PORCENTAJE_USO_lag_9,PORCENTAJE_USO_lag_10,NUMERO_CONEXIONES_lag_1,NUMERO_CONEXIONES_lag_2,NUMERO_CONEXIONES_lag_3,NUMERO_CONEXIONES_lag_4,NUMERO_CONEXIONES_lag_5,NUMERO_CONEXIONES_lag_6,NUMERO_CONEXIONES_lag_7,NUMERO_CONEXIONES_lag_8,NUMERO_CONEXIONES_lag_9,NUMERO_CONEXIONES_lag_10
003_ZW Parque del Perro,5,0,1,0,102.2,76.0,2096723.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63.64,38.55,48.65,23.84,78.42,134.12,70.37,83.04,72.19,13.8,89.0,89.0,71.0,80.0,65.0,110.0,88.0,77.0,64.0,58.0
003_ZW Parque del Perro,6,0,0,1,93.46,87.0,2482001.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,102.2,63.64,38.55,48.65,23.84,78.42,134.12,70.37,83.04,72.19,76.0,89.0,89.0,71.0,80.0,65.0,110.0,88.0,77.0,64.0
003_ZW Parque del Perro,0,1,0,0,106.35,82.0,2868343.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,93.46,102.2,63.64,38.55,48.65,23.84,78.42,134.12,70.37,83.04,87.0,76.0,89.0,89.0,71.0,80.0,65.0,110.0,88.0,77.0
003_ZW Parque del Perro,1,1,0,0,123.04,82.0,3726116.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,106.35,93.46,102.2,63.64,38.55,48.65,23.84,78.42,134.12,70.37,82.0,87.0,76.0,89.0,89.0,71.0,80.0,65.0,110.0,88.0
003_ZW Parque del Perro,2,1,0,0,78.58,91.0,2369441.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,123.04,106.35,93.46,102.2,63.64,38.55,48.65,23.84,78.42,134.12,82.0,82.0,87.0,76.0,89.0,89.0,71.0,80.0,65.0,110.0
003_ZW Parque del Perro,3,1,0,0,67.38,75.0,2312212.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78.58,123.04,106.35,93.46,102.2,63.64,38.55,48.65,23.84,78.42,91.0,82.0,82.0,87.0,76.0,89.0,89.0,71.0,80.0,65.0
003_ZW Parque del Perro,4,1,0,0,46.74,81.0,1585781.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67.38,78.58,123.04,106.35,93.46,102.2,63.64,38.55,48.65,23.84,75.0,91.0,82.0,82.0,87.0,76.0,89.0,89.0,71.0,80.0
003_ZW Parque del Perro,5,0,1,0,24.32,106.0,738661.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,46.74,67.38,78.58,123.04,106.35,93.46,102.2,63.64,38.55,48.65,81.0,75.0,91.0,82.0,82.0,87.0,76.0,89.0,89.0,71.0
003_ZW Parque del Perro,6,0,1,0,46.34,94.0,1372999.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.32,46.74,67.38,78.58,123.04,106.35,93.46,102.2,63.64,38.55,106.0,81.0,75.0,91.0,82.0,82.0,87.0,76.0,89.0,89.0
003_ZW Parque del Perro,0,1,0,0,12.38,62.0,411799.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,46.34,24.32,46.74,67.38,78.58,123.04,106.35,93.46,102.2,63.64,94.0,106.0,81.0,75.0,91.0,82.0,82.0,87.0,76.0,89.0
003_ZW Parque del Perro,1,1,0,0,95.7,86.0,2938659.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.38,46.34,24.32,46.74,67.38,78.58,123.04,106.35,93.46,102.2,62.0,94.0,106.0,81.0,75.0,91.0,82.0,82.0,87.0,76.0
003_ZW Parque del Perro,2,1,0,0,32.5,62.0,1024896.0,1,0,6,5,4,3,2,1,0,6,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.7,12.38,46.34,24.32,46.74,67.38,78.58,123.04,106.35,93.46,86.0,62.0,94.0,106.0,81.0,75.0,91.0,82.0,82.0,87.0
003_ZW Parque del Perro,3,1,0,0,47.6,63.0,1353402.0,2,1,0,6,5,4,3,2,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,95.7,12.38,46.34,24.32,46.74,67.38,78.58,123.04,106.35,62.0,86.0,62.0,94.0,106.0,81.0,75.0,91.0,82.0,82.0
003_ZW Parque del Perro,4,1,0,0,59.2,83.0,1795153.0,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,32.5,95.7,12.38,46.34,24.32,46.74,67.38,78.58,123.04,63.0,62.0,86.0,62.0,94.0,106.0,81.0,75.0,91.0,82.0
003_ZW Parque del Perro,5,0,1,0,14.9,73.0,389204.0,4,3,2,1,0,6,5,4,3,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,47.6,32.5,95.7,12.38,46.34,24.32,46.74,67.38,78.58,83.0,63.0,62.0,86.0,62.0,94.0,106.0,81.0,75.0,91.0
003_ZW Parque del Perro,6,0,1,0,223.0,87.0,7127645.0,5,4,3,2,1,0,6,5,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14.9,59.2,47.6,32.5,95.7,12.38,46.34,24.32,46.74,67.38,73.0,83.0,63.0,62.0,86.0,62.0,94.0,106.0,81.0,75.0
003_ZW Parque del Perro,0,1,0,0,357.0,75.0,8954932.0,6,5,4,3,2,1,0,6,5,4,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,223.0,14.9,59.2,47.6,32.5,95.7,12.38,46.34,24.32,46.74,87.0,73.0,83.0,63.0,62.0,86.0,62.0,94.0,106.0,81.0
003_ZW Parque del Perro,1,1,0,0,354.0,42.0,8467639.0,0,6,5,4,3,2,1,0,6,5,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,357.0,223.0,14.9,59.2,47.6,32.5,95.7,12.38,46.34,24.32,75.0,87.0,73.0,83.0,63.0,62.0,86.0,62.0,94.0,106.0
